ID_OBSERVAT;OBSERVAT;INSTRUME;TELESCOP;OBSINST_KEY;UNITS;WAVEMIN;WAVEMAX;WAVENAME;WAVEUNIT;FREQMIN;FREQMAX;FREQUNIT;SPECTRAL_DOMAIN;OBS_TYPE;OBS_CAT;COMMENT
1;WIND;WAVES;RAD2;WIND__WAVES;dB above background;21.6066;278.8767;Decametric/Hectometric;m;1.075;13.825;MHz;RADIO;BOTH;SPACEBORNE;60 sec. averaged data produced by the LESIA
2;WIND;WAVES;RAD1;WIND__WAVES;dB above background;288.2619;14989.6229;Hectometric/Kilometric;m;0.020;1.040;MHz;RADIO;BOTH;SPACEBORNE;60 sec. averaged data produced by the LESIA
3;STEREO_A;SWAVES;HFR;STEREO_A__SWAVES;dB above background;18.7077;2398.3396;Decametric/Kilometric;m;0.125;16.025;MHz;RADIO;BOTH;SPACEBORNE;60 sec. average data produced by the GSFC
4;STEREO_B;SWAVES;HFR;STEREO_B__SWAVES;dB above background;18.7077;2398.3396;Decametric/Kilometric;m;0.125;16.025;MHz;RADIO;BOTH;SPACEBORNE;60 sec. average data produced by the GSFC
